"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"2027","ILMN_1726928",0.785751661768748,-0.0474952627722772,6.51051258769979,5.59604945170283e-10,2.20439542663366e-08,12.2909771506492,"TCEA3","transcription elongation factor A3"
"4180","ILMN_1821176",0.354313499055459,-0.037693950970297,6.50883407374315,5.64815169481203e-10,2.22306543914723e-08,12.2819924951525,"RNF125","ring finger protein 125"
"1141","ILMN_1691181",-0.310822445439135,-0.00967029079207921,-6.50762574137765,5.68595402676896e-10,2.23608072138489e-08,12.2755255401501,"TMX1","thioredoxin related transmembrane protein 1"
"1764","ILMN_1715131",0.69424872300593,-0.0272025133861386,6.50540861082723,5.75596412129789e-10,2.26172996183877e-08,12.2636615751392,"CCR7","C-C motif chemokine receptor 7"
"765","ILMN_1676946",0.502393192045344,0.0140766510346535,6.50393539506859,5.80295147570917e-10,2.27829759891288e-08,12.2557797956467,"AP3M2","adaptor related protein complex 3 subunit mu 2"
"6033","ILMN_3248928",0.541639934595746,-0.0247509570594059,6.50179873642584,5.87176948970112e-10,2.30340153461855e-08,12.2443506407635,"UBN2","ubinuclein 2"
"4985","ILMN_2273053",-0.681944187874783,0.130381274826733,-6.50062005176316,5.91007546586676e-10,2.31650435127264e-08,12.2380468169946,"IL15","interleukin 15"
"3898","ILMN_1803856",0.343950028649111,0.00439581733663366,6.49963248459014,5.94235933482293e-10,2.32555193920869e-08,12.2327657015988,"DKFZP586I1420","uncharacterized protein DKFZp586I1420"
"5691","ILMN_3208330",-0.419978291577956,-0.0311835744158416,-6.49961275521397,5.94300605666806e-10,2.32555193920869e-08,12.2326602021209,"FXR1","FMR1 autosomal homolog 1"
"5236","ILMN_2354515",-0.371890507444716,0.0128378044455446,-6.49717099795457,6.02358231565793e-10,2.35513093005662e-08,12.2196049418343,"NDUFAF3","NADH:ubiquinone oxidoreductase complex assembly factor 3"
"5316","ILMN_2367418",-0.523918066127311,-0.013876343470297,-6.49399642535132,6.12994797541509e-10,2.39473592081745e-08,12.2026363721019,"OSCAR","osteoclast associated Ig-like receptor"
"5322","ILMN_2368068",0.280309711804674,-0.0151473979405941,6.49381766057672,6.13599216756656e-10,2.39511608319286e-08,12.2016810091574,"TCF20","transcription factor 20"
"4529","ILMN_2090607",-0.653332121418906,-0.0102849152128713,-6.49337166270967,6.1510972875006e-10,2.39902952919852e-08,12.1992975620151,"IRF2","interferon regulatory factor 2"
"472","ILMN_1666376",-0.386200863666551,0.0211758834554455,-6.48953512745236,6.28255184374186e-10,2.44827727831495e-08,12.1787992562715,"TRIM56","tripartite motif containing 56"
"4946","ILMN_2246956",0.416598107434252,-0.0213457280990099,6.48410532004115,6.47332825544906e-10,2.52054218329031e-08,12.1498018150254,"BCL2","BCL2 apoptosis regulator"
"3091","ILMN_1769810",-0.263099076140216,0.000423273158415842,-6.48394592171329,6.47901388344512e-10,2.52067796317131e-08,12.1489508021414,"ARL6IP5","ARF like GTPase 6 interacting protein 5"
"4711","ILMN_2152178",0.430997458431113,0.00879969274752475,6.48323327734326,6.50449348612833e-10,2.52850808101504e-08,12.1451462280139,"FAN1","FANCD2 and FANCI associated nuclease 1"
"396","ILMN_1664006",0.451941655926753,-0.0111200453861386,6.48194045820389,6.55096800533569e-10,2.54448001529613e-08,12.1382449926146,"AGL","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
"4713","ILMN_2152429",-0.462790617307988,0.103471735049505,-6.47878316450551,6.66584290562036e-10,2.58697145665863e-08,12.1213947524872,"C12orf76","chromosome 12 open reading frame 76"
"218","ILMN_1658028",-0.58081596403767,0.0216496466831683,-6.47561091073626,6.78325506457028e-10,2.63037701112249e-08,12.104470106174,NA,NA
"920","ILMN_1682312",-0.504400955502616,0.0258793607772277,-6.4741579453627,6.83770880719555e-10,2.64812005286888e-08,12.0967200477107,"CYBB","cytochrome b-245 beta chain"
"5166","ILMN_2338116",0.79979023049006,-0.0313450990247525,6.47409109356833,6.84022456543379e-10,2.64812005286888e-08,12.096363490468,"TRAF5","TNF receptor associated factor 5"
"5579","ILMN_2411723",0.350719527685386,-0.0221953127772277,6.47004453818877,6.99420969497665e-10,2.70551611878331e-08,12.0747855040743,"RPSA","ribosomal protein SA"
"5580","ILMN_2411723",0.350719527685386,-0.0221953127772277,6.47004453818877,6.99420969497665e-10,2.70551611878331e-08,12.0747855040743,"RPSA2","ribosomal protein SA 2"
"2848","ILMN_1760347",-0.360352041807465,-0.00382745725247525,-6.46968048257112,7.00822909242502e-10,2.70872068956077e-08,12.0728446370127,"SRGN","serglycin"
